Seed,Dataset,Sample Size,attr_to_inst,class_ent,eq_num_attr,gravity,inst_to_attr,nr_attr,nr_bin,nr_class,nr_cor_attr,nr_inst,nr_norm,nr_outliers,ns_ratio,Model,Model Parameters,Accuracy,Precision,Recall,F1 Score,MCC,XAI pair,XAI PCC,XAI SRCC
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,LR,"'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'saga'",0.983641160949868,0.9842272912057592,0.983641160949868,0.9836296751198548,0.9733079819336692,PI - SHAP,0.9306372625465936,0.19999999999999998
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,LR,"'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'saga'",0.983641160949868,0.9842272912057592,0.983641160949868,0.9836296751198548,0.9733079819336692,PI - LIME,0.33506640796181547,0.36470588235294116
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,LR,"'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'saga'",0.983641160949868,0.9842272912057592,0.983641160949868,0.9836296751198548,0.9733079819336692,SHAP - LIME,0.625311475317279,0.65
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,DT,"'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None",1.0,1.0,1.0,1.0,1.0,PI - SHAP,0.9977433864000282,0.5756471673400021
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,DT,"'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None",1.0,1.0,1.0,1.0,1.0,PI - LIME,0.9732073519290044,0.5752237416355278
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,DT,"'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None",1.0,1.0,1.0,1.0,1.0,SHAP - LIME,0.9864137383105699,-0.1280353547508941
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,ExtraTree,"'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None",1.0,1.0,1.0,1.0,1.0,PI - SHAP,0.9963638125750446,0.5756471673400021
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,ExtraTree,"'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None",1.0,1.0,1.0,1.0,1.0,PI - LIME,0.989669495287324,0.5752237416355278
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,ExtraTree,"'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None",1.0,1.0,1.0,1.0,1.0,SHAP - LIME,0.9739447805916561,-0.17954383080010436
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,SVM,"'C': 10, 'class_weight': None, 'kernel': 'rbf'",0.9509234828496044,0.9594227679426894,0.9509234828496044,0.9520630221253488,0.9248724586697378,PI - SHAP,0.9980127104215305,0.5918640877250216
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,SVM,"'C': 10, 'class_weight': None, 'kernel': 'rbf'",0.9509234828496044,0.9594227679426894,0.9509234828496044,0.9520630221253488,0.9248724586697378,PI - LIME,0.9890840075022126,0.5124494126631833
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,SVM,"'C': 10, 'class_weight': None, 'kernel': 'rbf'",0.9509234828496044,0.9594227679426894,0.9509234828496044,0.9520630221253488,0.9248724586697378,SHAP - LIME,0.9950607375380441,0.6088235294117647
